Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,apmSubInfo.cameraTilt,apmSubInfo.tetherTurns,apmSubInfo.lights1,apmSubInfo.lights2,apmSubInfo.pilotGain,apmSubInfo.inputHold,apmSubInfo.rollPitchToggle,apmSubInfo.rangefinderDistance,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
23:14.5,1.2,-1.5,333,0,0,0,0,0,0,0.3,0.8,1.2,0.24,0.458,0,0,0:00:00,0.1,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.54,36,--.--,99,--.--,--:--:--,0,--.--,13:23:13,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.5,-0.3,0.3,0.5,-0.4,-0.3,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.57,62.22,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
23:15.5,2.4,-0.3,333,0,0,0,0,0,0,0.1,0.8,0.4,0.22,0.467,0,0,0:00:01,0.3,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.54,36,--.--,99,--.--,--:--:--,0,--.--,13:23:14,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.8,-0.9,-0.5,0,-0.4,-0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.59,62.26,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
23:16.5,2,-0.1,333,0,0,0,0,0,0,0.4,0.9,0.5,0.26,0.533,0,0,0:00:01,0.6,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,1.68,36,--.--,99,--.--,--:--:--,0,--.--,13:23:15,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.3,-0.7,-0.6,-0.4,-0.1,-0.4,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.61,62.26,--.--,0,0,0.2,0.2,0.3,0,0,0,--.--,--.--,--.--
23:17.5,2.5,-1.5,334,0,0,0,0,0,0,-0.2,0.6,0.3,0.2,0.396,0,0,0:00:02,0.8,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.56,37,--.--,99,--.--,--:--:--,0,--.--,13:23:16,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.1,-0.6,-0.3,-0.3,-0.2,0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.62,62.28,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
23:18.5,3,-1.5,334,0,0,0,0,0,0,-0.5,0,-0.3,0,0.014,0,0,0:00:03,0.7,0,--.--,--.--,--.--,0,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.57,37,--.--,99,--.--,--:--:--,0,--.--,13:23:17,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,-0.5,0.2,-0.1,-0.1,0.5,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.64,62.29,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
23:19.5,2.8,-2.4,334,0,0,0,0,0,0,0,0.2,-0.7,0.05,0.079,0,0,0:00:00,0.1,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.57,37,--.--,99,--.--,--:--:--,0,--.--,13:23:18,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.4,-0.5,-0.6,0.6,-0.3,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.66,62.29,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
23:20.5,1.3,1.2,333,0,0,0,0,0,0,0.5,1,0.1,0.3,0.634,0,0,0:00:00,0.3,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.55,37,--.--,99,--.--,--:--:--,0,--.--,13:23:19,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.6,-0.7,-1.4,0.4,-0.4,-0.6,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.68,62.31,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
23:21.5,1.6,0.5,334,0,0,0,0,0,0,0.5,1.3,0.4,0.38,0.774,0,0,0:00:01,0.4,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.53,38,--.--,99,--.--,--:--:--,0,--.--,13:23:20,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,-0.9,-1.5,-0.3,-0.6,-0.6,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.7,62.33,--.--,0,0,0.1,0.1,0,0,0,0,--.--,--.--,--.--
23:22.5,3.6,-0.4,334,0,0,0,0,0,0,-0.2,0.7,-0.3,0.19,0.444,0,0,0:00:03,0.6,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.53,38,--.--,99,--.--,--:--:--,0,--.--,13:23:21,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.8,-0.8,-0.4,-0.3,0.3,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.73,62.33,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
23:23.5,1.9,0.6,334,0,0,0,0,0,0,-0.2,0.1,-0.8,0.02,0.069,0,0,0:00:03,0.5,0,--.--,--.--,--.--,49,0000:00:00,50,0,0,0,40,0,2,--.--,0,0,0,--.--,0.51,38,--.--,99,--.--,--:--:--,0,--.--,13:23:22,8/1/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,48.3887901,-124.7107009,10UCU 73353 60927,1,1,0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.2,-0.5,-0.4,-0.3,0,0.3,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,119.75,62.33,--.--,0,0,0,0,0,0,0,0,--.--,--.--,--.--
