timestamp,distance [mm],confidence [%]
2022-08-15 10:50:10.080000,4515,9
2022-08-15 10:50:10.127000,3995,8
2022-08-15 10:50:10.164000,4455,9
2022-08-15 10:50:11.170000,4282,24
2022-08-15 10:50:11.239000,4349,13
2022-08-15 10:50:11.306000,4188,21
2022-08-15 10:50:11.363000,4250,0
2022-08-15 10:50:11.432000,4230,4
2022-08-15 10:50:11.490000,4197,4
2022-08-15 10:50:11.564000,4223,11
2022-08-15 10:50:11.623000,3935,0
2022-08-15 10:50:11.713000,3930,6
2022-08-15 10:50:11.764000,4005,11
2022-08-15 10:50:11.847000,3982,11
2022-08-15 10:50:11.880000,3970,5
2022-08-15 10:50:11.964000,3941,0
2022-08-15 10:50:12.024000,3903,0
2022-08-15 10:50:12.096000,3842,0
2022-08-15 10:50:12.168000,4080,0
2022-08-15 10:50:12.218000,4069,0
2022-08-15 10:50:12.277000,4046,0
2022-08-15 10:50:12.351000,4180,0
2022-08-15 10:50:12.418000,4507,0
2022-08-15 10:50:12.469000,4394,0
2022-08-15 10:50:12.551000,4197,0
2022-08-15 10:50:12.621000,4290,0
2022-08-15 10:50:12.672000,4198,0
2022-08-15 10:50:12.743000,4217,0
2022-08-15 10:50:12.812000,4262,0
2022-08-15 10:50:12.880000,4276,0
2022-08-15 10:50:12.951000,4392,0
2022-08-15 10:50:13,4520,0
2022-08-15 10:50:13.088000,4511,0
2022-08-15 10:50:13.143000,4193,0
2022-08-15 10:50:13.209000,4472,8
2022-08-15 10:50:13.267000,4192,0
2022-08-15 10:50:13.338000,4136,0
2022-08-15 10:50:13.406000,4242,27
2022-08-15 10:50:13.476000,4219,17
2022-08-15 10:50:13.542000,4163,26
2022-08-15 10:50:13.600000,4097,26
2022-08-15 10:50:13.670000,4028,18
2022-08-15 10:50:13.732000,4012,16
2022-08-15 10:50:13.799000,3970,8
2022-08-15 10:50:13.872000,3878,18
2022-08-15 10:50:13.933000,3819,19
2022-08-15 10:50:14.005000,4071,10
2022-08-15 10:50:14.073000,4095,10
2022-08-15 10:50:14.122000,4173,10
2022-08-15 10:50:14.208000,4185,31
2022-08-15 10:50:14.257000,4248,20
2022-08-15 10:50:14.333000,4307,29
2022-08-15 10:50:14.391000,4377,18
2022-08-15 10:50:14.468000,4334,28
2022-08-15 10:50:14.526000,4369,38
2022-08-15 10:50:14.596000,4439,28
