time,date,flight_time,depth,heading,battery_remaining,lat,lon,satellite_count,temp,seq,avg_dist,avg_conf,EucDIS,clock,clock_min,lat_smooth,lon_smooth,EucSmooth
13:50:40,10/6/2022,0:08:57,-6.52272,263,97,47.630268,-122.3982391,10,55.13,8.983333333,0.933333333,100,NA,1,0.016666667,47.63027742,-122.398237,NA
13:50:41,10/6/2022,0:08:58,-6.52272,263,97,47.630268,-122.3982391,10,55.13,9,0.935222222,100,0,2,0.033333333,47.63027546,-122.3982399,0
13:50:42,10/6/2022,0:08:59,-6.5532,263,97,47.630268,-122.3982391,10,55.11,9.016666667,0.941111111,100,0,3,0.05,47.63027371,-122.3982426,0
13:50:43,10/6/2022,0:09:00,-6.52272,263,97,47.6302642,-122.3982467,10,55.13,9.033333333,0.936111111,100,0.710201445,4,0.066666667,47.63027215,-122.3982454,0.710201445
13:50:44,10/6/2022,0:09:01,-6.49224,263,97,47.6302642,-122.3982467,10,55.11,9.05,0.928777778,100,0,5,0.083333333,47.63027077,-122.398248,0
13:50:45,10/6/2022,0:09:02,-6.46176,263,97,47.630268,-122.3982543,10,55.13,9.066666667,0.937666667,100,0.710201443,6,0.1,47.63026956,-122.3982506,0.710201443
13:50:46,10/6/2022,0:09:03,-6.46176,263,97,47.630268,-122.3982543,10,55.11,9.083333333,0.960888889,100,0,7,0.116666667,47.63026852,-122.3982532,0
13:50:47,10/6/2022,0:09:04,-6.46176,263,97,47.6302719,-122.3982543,10,55.11,9.1,0.987222222,100,0.433451636,8,0.133333333,47.63026764,-122.3982557,0.433451636
13:50:48,10/6/2022,0:09:05,-6.46176,263,97,47.6302719,-122.3982543,10,55.11,9.116666667,0.9858,100,0,9,0.15,47.6302669,-122.3982581,0
13:50:49,10/6/2022,0:09:06,-6.46176,263,97,47.6302719,-122.398262,10,55.11,9.133333333,0.969444444,100,0.578491919,10,0.166666667,47.63026631,-122.3982605,0.578491919
13:50:50,10/6/2022,0:09:07,-6.46176,263,97,47.6302719,-122.398262,10,55.11,9.15,0.957444444,100,0,11,0.183333333,47.63026585,-122.3982628,0
13:50:51,10/6/2022,0:09:08,-6.46176,263,97,47.6302719,-122.398262,10,55.11,9.166666667,0.958,100,0,12,0.2,47.63026553,-122.3982651,0
13:50:52,10/6/2022,0:09:09,-6.46176,264,97,47.630268,-122.3982696,10,55.13,9.183333333,0.967333333,100,0.71686638,13,0.216666667,47.63026532,-122.3982674,0.71686638
13:50:53,10/6/2022,0:09:10,-6.46176,264,97,47.630268,-122.3982696,10,55.13,9.2,0.966222222,100,0,14,0.233333333,47.63026522,-122.3982696,0
13:50:54,10/6/2022,0:09:11,-6.46176,264,97,47.630268,-122.3982696,10,55.13,9.216666667,0.960666667,100,0,15,0.25,47.63026523,-122.3982718,0
13:50:55,10/6/2022,0:09:12,-6.46176,264,97,47.630268,-122.3982772,10,55.11,9.233333333,0.965222222,100,0.570979078,16,0.266666667,47.63026534,-122.3982739,0.570979078
